哥伦比亚总统的任职规定主要包括以下几点:

1. 任期:总统任期为4年[3][4]。

2. 连任限制:目前规定总统不能连任。具体来说:

   - 1991年宪法最初规定总统不能连任[1][3]。
   - 2004年议会通过允许总统连选连任的法案,2005年宪法法院批准了该法案,允许总统连任一届[6][7]。
   - 2015年再次修宪,将总统任期改回不可连选连任[4][7][9]。

3. 选举方式:总统由人民直接选举产生[3][4]。

4. 年龄要求:总统候选人必须至少30岁[4]。

5. 国籍要求:总统必须是哥伦比亚自然出生的公民[4]。

6. 职权:
   - 总统既是国家元首,也是政府首脑[3][4]。
   - 总统同时也是哥伦比亚武装部队的最高统帅[4][6]。

7. 继任规定:如果总统去世、辞职或被撤销职务,副总统将会继任总统职位[3][4]。

8. 副总统:与总统在同一张选票上当选,任期和连任限制与总统相同[3][4]。

这些规定体现了哥伦比亚政治制度对权力的制衡,特别是通过限制连任来防止权力过度集中。近年来哥伦比亚对总统连任规定的多次修改,反映了该国在寻求政治稳定性和防止独裁之间的平衡。
